Player ,Position,Team,Year ,ConfStanding,era ,w,l ,app,gs ,cg ,isho ,csho,sv ,ip ,h ,r ,er ,bb ,so ,2b ,3b ,hr ,ab ,bavg ,wp ,hbp ,bk ,1stTeam ,2ndTeam
Montano,P,CSUP,2010,5,5.66,3,4,15,7,1,0,1,0,47.2,63,41,30,24,42,14,1,5,195,0.323,7,2,0,No,No
Oliver,P,CSUP,2010,5,5.16,1,1,19,0,0,0,0,1,29.2,37,21,17,6,27,10,1,2,124,0.298,3,8,2,No,No
Perlitsh,P,CSUP,2010,5,6.05,1,1,20,0,0,0,0,0,19.1,23,13,13,9,14,4,0,3,70,0.329,3,0,0,No,No
Radach,P,CSUP,2010,5,18,0,0,1,0,0,0,0,0,1,1,2,2,1,0,0,0,1,4,0.250,0,0,0,No,No
Richmond,P,CSUP,2010,5,9.16,1,1,14,1,0,0,1,1,18.2,23,21,19,21,15,3,0,2,77,0.299,5,3,0,No,No
Stephens,P,CSUP,2010,5,5.33,4,4,13,7,3,0,1,2,50.2,65,35,30,19,33,14,2,5,205,0.317,4,8,0,No,Yes
Stevens,P,CSUP,2010,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.000,0,0,0,No,No
Struble,P,CSUP,2010,5,27,0,0,1,0,0,0,0,0,0.1,1,1,1,0,0,0,0,0,1,1.000,0,0,0,No,No
Ball,P,CSUP,2014,3,7.71,0,0,6,0,0,0,0,0,9.1,11,8,8,7,5,0,1,3,36,0.306,0,2,0,No,No
Bevington,P,CSUP,2014,3,6.06,0,1,15,0,0,0,0,1,16.1,24,12,11,5,10,2,2,0,69,0.348,0,1,0,No,No
Bristow,P,CSUP,2014,3,6.03,5,6,16,14,1,1,1,0,71.2,100,52,48,22,41,12,2,4,301,0.332,4,5,0,No,No
Busch,P,CSUP,2014,3,9.64,1,1,15,0,0,0,0,0,4.2,10,6,5,4,0,0,0,0,23,0.435,1,0,0,No,No
Casler,P,CSUP,2014,3,5.4,0,3,15,0,0,0,0,0,15,14,10,9,4,6,3,1,1,59,0.237,0,8,2,No,No
Clemens,P,CSUP,2014,3,14.4,0,1,5,1,0,0,0,0,5,8,8,8,3,4,2,0,0,23,0.348,1,1,0,No,No
Fabrizio,P,CSUP,2014,3,3.61,7,3,14,14,1,0,0,0,82.1,91,49,33,44,74,9,4,3,322,0.283,5,10,3,Yes,No
Finley,P,CSUP,2014,3,7.17,2,2,21,0,0,0,0,4,21.1,20,17,17,19,32,5,0,2,79,0.253,4,3,0,No,No
Given,P,CSUP,2014,3,4.35,2,1,13,1,0,0,1,1,31,35,17,15,5,18,3,0,0,127,0.276,1,1,0,No,No
King,P,CSUP,2014,3,11.45,0,0,15,0,0,0,0,0,11,16,17,14,5,7,1,0,2,50,0.320,2,3,0,No,No
Masterson,P,CSUP,2014,3,9.39,0,0,4,0,0,0,0,0,7.2,11,8,8,2,2,3,1,2,29,0.379,0,0,0,No,No
