Player ,Position,Team,Year,ConfStanding,era ,w,l ,app,gs ,cg ,isho ,csho,sv ,ip ,h ,r ,er ,bb ,so ,2b ,3b ,hr ,ab ,bavg ,wp ,hbp ,bk ,Award
Gimenez,P,CSUP ,2016,3,2.25,0,0,4,0,0,0,0,0,4,7,3,1,0,3,2,1,1,21,0.333,0,0,0,0
Brandon,P,NMHU ,2017,7,3.48,1,2,17,0,0,0,0,4,20.2,26,11,8,7,25,7,1,1,109,0.294,4,4,0,0
Wiemers,P,ASU,2014,6,8.37,2,6,13,10,1,0,0,0,52.2,79,55,49,25,29,15,0,8,225,0.351,2,5,3,0
Bevington,P,CSUP ,2015,2,4.68,2,2,16,3,0,0,0,0,32.2,34,17,17,9,19,5,0,2,130,0.262,0,0,0,0
Hampe,P,CMU ,2008,1,6.37,1,1,12,5,0,0,0,0,35.1,41,33,25,13,14,9,2,4,144,0.285,2,3,0,0
Tomlinson,P,CCU ,2008,8,7.09,1,4,17,3,0,0,0,1,39.1,54,41,31,12,23,7,1,5,172,0.314,3,8,1,0
Visinoni,P,CSUP ,2017,4,2.76,2,0,11,0,0,0,0,0,16.1,18,14,5,8,16,4,0,1,52,0.295,1,0,0,0
Whitman,P,CSUP,2009,3,4.91,0,0,2,0,0,0,0,0,3.2,2,2,2,2,7,0,0,1,13,0.154,0,0,0,0
Wiemers,P,ASU,2013,7,7.96,3,4,17,4,0,0,1,1,31.2,52,31,28,19,16,8,2,4,137,0.38,7,5,1,0
Sandoval,P,CMU ,2015,1,1.69,0,0,5,0,0,0,0,0,5.1,4,2,1,6,6,1,0,0,21,0.19,1,2,0,0
Swanson,P,NMHU,2009,2,7.56,0,0,8,0,0,0,0,1,8.1,14,7,7,2,1,1,0,2,33,0.424,0,2,0,0
Garcia,P,ASU ,2017,9,3.16,2,0,5,4,0,0,0,0,25.2,23,11,9,5,35,3,0,2,71,0.331,3,3,1,0
Allianic,P,CMU,2014,1,2.4,1,1,11,1,0,0,0,2,15,15,5,4,6,11,0,0,1,57,0.263,0,3,0,0
Thornton,P,NMHU ,2008,6,6.64,4,0,21,4,0,0,0,0,61,99,52,45,18,51,17,2,4,265,0.374,7,3,2,0
Rochford,P,ASU,2013,7,11.03,0,2,14,1,0,0,1,0,23.2,44,37,29,16,19,8,0,1,114,0.386,3,1,0,0
Martin,P,CSM ,2017,2,18,0,0,5,0,0,0,0,0,4,8,8,8,8,2,1,0,1,16,0.435,1,1,0,0
Blomster,P,CSM ,2017,2,4.45,5,2,11,11,0,0,1,0,56.2,59,30,28,23,47,14,2,5,248,0.294,2,2,1,0
Olinger,P,CSM,2013,5,12.15,1,1,5,1,0,0,1,2,6.2,12,11,9,6,6,0,0,1,30,0.4,1,1,0,0
Piho,P,NMHU ,2008,6,7.22,3,10,16,15,1,0,0,0,72.1,103,65,58,35,32,24,4,6,310,0.332,9,11,0,0
Martin,P,CSM ,2015,6,4.29,1,2,11,2,0,0,0,1,21,23,15,10,7,12,6,0,4,82,0.28,2,3,1,0
Ball,P,CSUP,2014,3,7.71,0,0,6,0,0,0,0,0,9.1,11,8,8,7,5,0,1,3,36,0.306,0,2,0,0
Picconi,P,RU,2013,4,99,0,0,1,0,0,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0
Demello,P,CMU ,2012,1,0,0,0,2,0,0,0,0,0,2.1,1,0,0,0,1,1,0,0,8,0.125,0,0,0,0
Silva,P,RU ,2008,3,10.5,1,1,7,4,0,0,0,1,18,21,21,21,26,16,6,0,3,69,0.304,9,6,1,0
Pepin,P,MSUD ,2017,3,27,0,0,3,0,0,0,0,0,1.1,3,7,4,7,1,1,0,0,12,0.469,0,0,0,0
